"","TP","TN","FP","FN","Acc","prec","rec","F1"
"1",12,3,0,1,0.9375,1,0.923076923076923,0.96
"2",7,6,1,2,0.8125,0.875,0.777777777777778,0.823529411764706
"3",12,2,0,2,0.875,1,0.857142857142857,0.923076923076923
"4",11,2,2,1,0.8125,0.846153846153846,0.916666666666667,0.88
"5",14,2,0,0,1,1,1,1
"6",13,2,0,1,0.9375,1,0.928571428571429,0.962962962962963
"7",11,3,1,1,0.875,0.916666666666667,0.916666666666667,0.916666666666667
"8",10,3,1,2,0.8125,0.909090909090909,0.833333333333333,0.869565217391304
"9",13,0,3,0,0.8125,0.8125,1,0.896551724137931
"10",14,2,0,0,1,1,1,1
